Date,Time,NUMEROABASTECIM,USUARIO,CONSUMO
01-07-23,01:19:18,1811,"P22",18943
01-07-23,01:26:39,1812,"P18",13741
01-07-23,03:20:24,1813,"P18",20084
01-07-23,04:55:22,1814,"P18",19317
01-07-23,06:11:52,1815,"P23",12508
01-07-23,06:27:25,1816,"P23",16738
01-07-23,06:39:45,1817,"P23",17047
01-07-23,07:35:59,1818,"P23",20538
01-07-23,07:53:21,1819,"P23",14715
01-07-23,09:30:52,1820,"P23",12057
01-07-23,10:26:27,1821,"P23",18578
01-07-23,14:09:42,1822,"P21",20252
01-07-23,14:35:04,1823,"P16",14099
01-07-23,16:04:27,1824,"P16",18824
01-07-23,16:59:30,1825,"P21",14543
01-07-23,20:51:34,1826,"P21",13796
01-07-23,20:54:29,1827,"P16",14951
01-07-23,20:58:50,1828,"P21",16105
02-07-23,01:23:25,1829,"P18",39151
02-07-23,01:50:31,1830,"P18",20125
02-07-23,04:00:54,1831,"P18",16615
02-07-23,04:05:28,1832,"P18",16409
03-07-23,06:23:23,1833,"P23",20122
03-07-23,06:36:57,1834,"P23",17236
03-07-23,06:39:05,1835,"P23",16071
03-07-23,06:46:16,1836,"P23",19327
03-07-23,07:57:48,1837,"P23",20048
03-07-23,11:02:11,1838,"P23",13474
03-07-23,11:07:19,1839,"P23",16485
03-07-23,12:45:24,1840,"P23",17404
03-07-23,16:24:36,1841,"P21",20199
03-07-23,16:57:46,1842,"P21",15661
03-07-23,19:53:48,1843,"P21",19275
03-07-23,20:40:52,1844,"P16",19639
03-07-23,21:05:16,1845,"P21",11941
03-07-23,21:18:18,1846,"P16",18374
03-07-23,22:19:11,1847,"P18",20108
03-07-23,22:32:30,1848,"P18",20565
04-07-23,03:15:28,1849,"P18",20472
04-07-23,03:23:42,1850,"P18",20092
04-07-23,05:28:34,1851,"P22",17531
04-07-23,06:00:01,1852,"P23",20218
04-07-23,06:19:03,1853,"P23",10613
04-07-23,07:22:04,1854,"P23",16736
04-07-23,08:19:47,1855,"P23",20691
04-07-23,09:25:50,1856,"P23",23840
04-07-23,09:30:01,1857,"P23",10150
04-07-23,11:07:57,1858,"P23",18484
04-07-23,12:21:34,1859,"P23",14698
04-07-23,12:25:05,1860,"P23",20229
04-07-23,12:53:24,1861,"P23",16949
04-07-23,17:27:46,1862,"P21",17998
04-07-23,17:38:04,1863,"P16",16503
04-07-23,19:40:00,1864,"P21",12764
04-07-23,19:52:55,1865,"P21",17829
04-07-23,22:15:35,1866,"P22",7613
04-07-23,22:19:26,1867,"P18",20219
04-07-23,22:24:08,1868,"P18",19845
04-07-23,23:25:53,1869,"P22",8793
04-07-23,23:28:28,1870,"P18",18112
05-07-23,00:04:53,1871,"P18",19247
05-07-23,00:20:23,1872,"P18",20245
05-07-23,03:03:54,1873,"P18",16545
05-07-23,06:13:05,1874,"P23",17683
05-07-23,06:31:57,1875,"P23",18764
05-07-23,07:20:28,1876,"P23",18826
05-07-23,10:08:16,1877,"P23",17257
05-07-23,10:17:01,1878,"P23",20424
05-07-23,11:03:55,1879,"P23",17188
05-07-23,11:31:56,1880,"P23",18597
05-07-23,14:56:32,1881,"P23",17697
05-07-23,14:59:02,1882,"P16",12636
05-07-23,15:59:00,1883,"P21",16589
05-07-23,18:04:35,1884,"P21",15580
05-07-23,19:41:49,1885,"P21",11467
05-07-23,20:31:27,1886,"P16",9579
05-07-23,20:55:10,1887,"P16",20196
05-07-23,21:24:28,1888,"P16",11347
05-07-23,22:31:25,1889,"P18",20015
05-07-23,22:36:58,1890,"P18",17166
05-07-23,22:41:39,1891,"P18",9771
06-07-23,01:58:48,1892,"P22",10472
06-07-23,04:17:02,1893,"P18",35984
06-07-23,04:20:40,1894,"P18",16774
06-07-23,06:07:22,1895,"P23",16545
06-07-23,06:24:01,1896,"P23",20235
06-07-23,06:28:35,1897,"P23",9193
06-07-23,07:54:01,1898,"P23",21148
06-07-23,08:51:09,1899,"P23",11154
06-07-23,11:37:23,1900,"P23",12198
06-07-23,14:17:08,1901,"P16",18231
06-07-23,14:23:26,1902,"P21",20227
06-07-23,14:39:20,1903,"P16",20465
06-07-23,16:34:18,1904,"P21",10685
06-07-23,17:19:56,1905,"P16",16531
06-07-23,17:46:37,1906,"P21",12925
06-07-23,18:18:36,1907,"P16",20056
06-07-23,19:47:40,1908,"P16",20191
06-07-23,21:02:28,1909,"P16",5354
06-07-23,22:21:17,1910,"P18",45427
06-07-23,23:18:55,1911,"P22",10188
07-07-23,04:17:41,1912,"P22",13833
07-07-23,04:20:37,1913,"P18",20106
07-07-23,06:12:10,1914,"P23",16595
07-07-23,06:17:21,1915,"P23",22966
07-07-23,06:20:24,1916,"P23",16754
07-07-23,09:21:26,1917,"P23",18121
07-07-23,10:21:15,1918,"P23",21848
07-07-23,13:09:19,1919,"P23",19934
07-07-23,14:50:56,1920,"P21",42
07-07-23,14:54:36,1921,"P21",18247
07-07-23,17:13:12,1922,"P16",20055
07-07-23,17:15:52,1923,"P16",18155
07-07-23,17:31:38,1924,"P21",12972
07-07-23,17:47:42,1925,"P16",12690
07-07-23,18:46:29,1926,"P21",13825
07-07-23,19:39:47,1927,"P16",14526
07-07-23,19:48:42,1928,"P16",4742
07-07-23,20:59:31,1929,"P16",6119
07-07-23,22:52:39,1930,"P22",8540
07-07-23,23:06:03,1931,"P22",9288
07-07-23,23:40:58,1932,"P18",15763
08-07-23,01:01:40,1933,"P18",16568
08-07-23,01:33:35,1934,"P18",19859
08-07-23,03:30:27,1935,"P18",20178
08-07-23,03:34:18,1936,"P18",15562
08-07-23,05:24:45,1937,"P18",20110
08-07-23,06:20:59,1938,"P23",9439
08-07-23,06:25:31,1939,"P23",11594
08-07-23,09:15:46,1940,"P23",18375
08-07-23,12:28:28,1941,"P23",18570
08-07-23,14:14:45,1942,"P21",25484
08-07-23,16:27:54,1943,"P16",20022
08-07-23,16:31:36,1944,"P21",11691
08-07-23,16:36:13,1945,"P16",15794
08-07-23,18:06:15,1946,"P21",20199
08-07-23,19:43:16,1947,"P16",12647
08-07-23,22:50:04,1948,"P18",11687
08-07-23,23:51:49,1949,"P18",10098
08-07-23,23:55:11,1950,"P22",10148
09-07-23,00:56:58,1951,"P18",19836
09-07-23,01:46:01,1952,"P18",18855
09-07-23,03:17:05,1953,"P22",17625
10-07-23,05:54:37,1954,"P22",13718
10-07-23,06:30:01,1955,"P23",20203
10-07-23,06:46:52,1956,"P23",37135
10-07-23,08:20:23,1957,"P23",18807
10-07-23,12:52:42,1958,"P23",20084
10-07-23,14:33:58,1959,"P21",15827
10-07-23,17:09:32,1960,"P16",2788
10-07-23,17:14:27,1961,"P16",4076
10-07-23,17:20:22,1962,"P21",14862
10-07-23,17:59:08,1963,"P21",15717
10-07-23,19:54:46,1964,"P16",20342
10-07-23,20:21:40,1965,"P16",22148
10-07-23,20:37:56,1966,"P16",20201
10-07-23,20:42:51,1967,"P16",8494
10-07-23,23:02:10,1968,"P22",17181
10-07-23,23:42:43,1969,"P18",20251
11-07-23,00:09:58,1970,"P18",19256
11-07-23,00:55:28,1971,"P18",19033
11-07-23,03:25:49,1972,"P18",10205
11-07-23,05:54:47,1973,"P22",14630
11-07-23,06:14:59,1974,"P23",12849
11-07-23,06:56:09,1975,"P23",22120
11-07-23,09:21:48,1976,"P23",44769
11-07-23,11:04:45,1977,"P23",24
11-07-23,11:08:06,1978,"P23",18925
11-07-23,11:26:59,1979,"P23",16155
11-07-23,14:04:31,1980,"P21",18875
11-07-23,16:39:35,1981,"P21",14667
11-07-23,17:17:57,1982,"P21",20174
11-07-23,18:38:28,1983,"P16",21559
11-07-23,20:18:28,1984,"P16",118
11-07-23,20:20:17,1985,"P16",9170
11-07-23,22:25:29,1986,"P18",19328
11-07-23,22:27:00,1987,"P18",12561
