Date,Time,NUMERO_ABASTECIM,USUARIO,CONSUMO
30-05-23,15:21:49,1245,"P21",20122
31-05-23,00:50:41,1246,"P22",20024
31-05-23,00:53:55,1247,"P22",17204
31-05-23,00:59:37,1248,"P22",18578
31-05-23,01:02:33,1249,"P22",13498
31-05-23,01:05:34,1250,"P22",21832
31-05-23,03:51:39,1251,"P18",50260
31-05-23,03:54:33,1252,"P18",20196
31-05-23,04:09:12,1253,"P18",20187
31-05-23,06:03:51,1254,"P22",17380
31-05-23,06:06:18,1255,"P23",16250
31-05-23,06:14:39,1256,"P23",20067
31-05-23,07:20:50,1257,"P23",11846
31-05-23,07:25:59,1258,"P23",352
31-05-23,10:12:04,1259,"P23",20049
31-05-23,11:17:22,1260,"P23",12680
31-05-23,11:54:13,1261,"P23",18858
31-05-23,13:09:09,1262,"P23",18936
31-05-23,14:31:43,1263,"P21",16621
31-05-23,18:11:15,1264,"P21",14854
31-05-23,18:18:12,1265,"P16",8690
31-05-23,18:24:48,1266,"P21",18995
31-05-23,20:53:43,1267,"P21",19256
31-05-23,21:07:13,1268,"P16",20179
31-05-23,21:40:38,1269,"P16",20235
31-05-23,22:34:48,1270,"P18",20032
31-05-23,22:44:05,1271,"P22",15220
